Province_StateID,Date,NewDeaths
0,1/22/20,0
0,1/23/20,0
0,1/24/20,0
0,1/25/20,0
0,1/26/20,0
0,1/27/20,0
0,1/28/20,0
0,1/29/20,0
0,1/30/20,0
0,1/31/20,0
0,2/01/20,0
0,2/02/20,0
0,2/03/20,0
0,2/04/20,0
0,2/05/20,0
0,2/06/20,0
0,2/07/20,0
0,2/08/20,0
0,2/09/20,0
0,2/10/20,0
0,2/11/20,0
0,2/12/20,0
0,2/13/20,0
0,2/14/20,0
0,2/15/20,0
0,2/16/20,0
0,2/17/20,0
0,2/18/20,0
0,2/19/20,0
0,2/20/20,0
0,2/21/20,0
0,2/22/20,0
0,2/23/20,0
0,2/24/20,0
0,2/25/20,0
0,2/26/20,0
0,2/27/20,0
0,2/28/20,0
0,2/29/20,0
0,3/01/20,0
0,3/02/20,0
0,3/03/20,0
0,3/04/20,0
0,3/05/20,0
0,3/06/20,0
0,3/07/20,0
0,3/08/20,0
0,3/09/20,0
0,3/10/20,0
0,3/11/20,0
0,3/12/20,0
0,3/13/20,0
0,3/14/20,0
0,3/15/20,0
0,3/16/20,0
0,3/17/20,0
0,3/18/20,0
0,3/19/20,0
0,3/20/20,0
0,3/21/20,0
0,3/22/20,0
0,3/23/20,0
0,3/24/20,0
0,3/25/20,0
0,3/26/20,0
0,3/27/20,0
0,3/28/20,0
0,3/29/20,0
0,3/30/20,1
0,3/31/20,0
0,4/01/20,0
0,4/02/20,0
0,4/03/20,0
0,4/04/20,1
0,4/05/20,0
0,4/06/20,0
0,4/07/20,0
0,4/08/20,0
0,4/09/20,0
0,4/10/20,0
0,4/11/20,0
0,4/12/20,0
0,4/13/20,0
0,4/14/20,0
0,4/15/20,1
0,4/16/20,0
0,4/17/20,0
0,4/18/20,0
0,4/19/20,0
0,4/20/20,0
0,4/21/20,0
0,4/22/20,0
0,4/23/20,0
0,4/24/20,0
0,4/25/20,0
0,4/26/20,0
0,4/27/20,0
0,4/28/20,0
0,4/29/20,0
0,4/30/20,0
0,5/01/20,0
0,5/02/20,0
0,5/03/20,0
0,5/04/20,0
0,5/05/20,0
0,5/06/20,0
0,5/07/20,0
0,5/08/20,0
0,5/09/20,0
0,5/10/20,0
0,5/11/20,0
0,5/12/20,0
0,5/13/20,0
0,5/14/20,0
0,5/15/20,0
0,5/16/20,0
0,5/17/20,0
0,5/18/20,0
0,5/19/20,0
0,5/20/20,0
0,5/21/20,0
0,5/22/20,0
0,5/23/20,0
0,5/24/20,0
0,5/25/20,0
0,5/26/20,0
0,5/27/20,0
0,5/28/20,0
0,5/29/20,0
0,5/30/20,0
0,5/31/20,0
0,6/01/20,0
0,6/02/20,0
0,6/03/20,0
0,6/04/20,0
0,6/05/20,0
0,6/06/20,0
0,6/07/20,0
0,6/08/20,0
0,6/09/20,0
0,6/10/20,0
0,6/11/20,0
0,6/12/20,0
0,6/13/20,0
0,6/14/20,0
0,6/15/20,0
0,6/16/20,0
0,6/17/20,0
0,6/18/20,0
0,6/19/20,0
0,6/20/20,0
0,6/21/20,0
0,6/22/20,0
0,6/23/20,0
0,6/24/20,0
0,6/25/20,0
0,6/26/20,0
0,6/27/20,0
0,6/28/20,0
0,6/29/20,0
0,6/30/20,0
0,7/01/20,0
0,7/02/20,0
0,7/03/20,0
0,7/04/20,0
0,7/05/20,0
0,7/06/20,0
0,7/07/20,0
0,7/08/20,0
0,7/09/20,0
0,7/10/20,0
0,7/11/20,0
0,7/12/20,0
0,7/13/20,0
0,7/14/20,0
0,7/15/20,0
0,7/16/20,0
0,7/17/20,0
0,7/18/20,0
0,7/19/20,0
0,7/20/20,0
0,7/21/20,0
0,7/22/20,0
0,7/23/20,0
0,7/24/20,0
0,7/25/20,0
0,7/26/20,0
0,7/27/20,0
0,7/28/20,0
0,7/29/20,0
0,7/30/20,0
0,7/31/20,0
0,8/01/20,0
0,8/02/20,0
0,8/03/20,0
0,8/04/20,0
0,8/05/20,0
0,8/06/20,0
0,8/07/20,0
0,8/08/20,0
0,8/09/20,0
0,8/10/20,0
0,8/11/20,0
0,8/12/20,0
0,8/13/20,0
0,8/14/20,0
0,8/15/20,0
0,8/16/20,0
0,8/17/20,0
0,8/18/20,0
0,8/19/20,0
0,8/20/20,0
0,8/21/20,0
0,8/22/20,0
0,8/23/20,0
0,8/24/20,0
0,8/25/20,0
0,8/26/20,0
0,8/27/20,0
0,8/28/20,0
0,8/29/20,0
0,8/30/20,0
0,8/31/20,0
0,9/01/20,0
0,9/02/20,0
0,9/03/20,0
0,9/04/20,0
0,9/05/20,0
0,9/06/20,0
0,9/07/20,0
0,9/08/20,0
0,9/09/20,0
0,9/10/20,0
0,9/11/20,0
0,9/12/20,0
0,9/13/20,0
0,9/14/20,0
0,9/15/20,0
0,9/16/20,0
0,9/17/20,0
0,9/18/20,0
0,9/19/20,0
0,9/20/20,0
0,9/21/20,0
0,9/22/20,0
0,9/23/20,0
0,9/24/20,0
0,9/25/20,0
0,9/26/20,0
0,9/27/20,0
0,9/28/20,0
0,9/29/20,0
0,9/30/20,0
0,10/01/20,0
0,10/02/20,0
0,10/03/20,0
0,10/04/20,0
