Country_RegionID,Date,NewCases
0,2020-01-22,0
0,2020-01-23,0
0,2020-01-24,0
0,2020-01-25,0
0,2020-01-26,0
0,2020-01-27,0
0,2020-01-28,0
0,2020-01-29,0
0,2020-01-30,0
0,2020-01-31,0
0,2020-02-01,0
0,2020-02-02,0
0,2020-02-03,0
0,2020-02-04,0
0,2020-02-05,0
0,2020-02-06,0
0,2020-02-07,0
0,2020-02-08,0
0,2020-02-09,0
0,2020-02-10,0
0,2020-02-11,0
0,2020-02-12,0
0,2020-02-13,0
0,2020-02-14,0
0,2020-02-15,0
0,2020-02-16,0
0,2020-02-17,0
0,2020-02-18,0
0,2020-02-19,0
0,2020-02-20,0
0,2020-02-21,0
0,2020-02-22,0
0,2020-02-23,0
0,2020-02-24,1
0,2020-02-25,0
0,2020-02-26,0
0,2020-02-27,0
0,2020-02-28,0
0,2020-02-29,0
0,2020-03-01,0
0,2020-03-02,0
0,2020-03-03,1
0,2020-03-04,2
0,2020-03-05,0
0,2020-03-06,0
0,2020-03-07,0
0,2020-03-08,1
0,2020-03-09,2
0,2020-03-10,1
0,2020-03-11,3
0,2020-03-12,1
0,2020-03-13,1
0,2020-03-14,2
0,2020-03-15,1
0,2020-03-16,2
0,2020-03-17,2
0,2020-03-18,4
0,2020-03-19,1
0,2020-03-20,4
0,2020-03-21,1
0,2020-03-22,4
0,2020-03-23,7
0,2020-03-24,2
0,2020-03-25,33
0,2020-03-26,4
0,2020-03-27,11
0,2020-03-28,16
0,2020-03-29,11
0,2020-03-30,28
0,2020-03-31,29
0,2020-04-01,22
0,2020-04-02,43
0,2020-04-03,35
0,2020-04-04,25
0,2020-04-05,38
0,2020-04-06,30
0,2020-04-07,56
0,2020-04-08,21
0,2020-04-09,40
0,2020-04-10,47
0,2020-04-11,24
0,2020-04-12,52
0,2020-04-13,58
0,2020-04-14,49
0,2020-04-15,70
0,2020-04-16,56
0,2020-04-17,66
0,2020-04-18,27
0,2020-04-19,63
0,2020-04-20,30
0,2020-04-21,66
0,2020-04-22,84
0,2020-04-23,59
0,2020-04-24,95
0,2020-04-25,133
0,2020-04-26,68
0,2020-04-27,172
0,2020-04-28,126
